Date,BLK,AXP,JPM,GS,SCHW,WFC,COF,C,MS,BAC
2020-01-02,435.30682373046875,116.0132827758789,118.43031311035156,201.23204040527344,44.062381744384766,45.56666564941406,92.70777130126953,64.66641235351562,42.60462188720703,30.429452896118164
2020-01-03,430.679931640625,114.86099243164062,116.86746215820312,198.8789520263672,42.94779586791992,45.28689956665039,91.26718139648438,63.44839859008789,41.91691207885742,29.797639846801758
2020-01-06,431.047607421875,114.3631820678711,116.7745590209961,200.914306640625,43.2492790222168,45.0156135559082,90.4439697265625,63.249393463134766,41.76953887939453,29.75494956970215
2020-01-07,433.8015441894531,113.76399993896484,114.78932189941406,202.23684692382812,43.505088806152344,44.64262390136719,89.5492172241211,62.70009231567383,41.68767547607422,29.55857276916504
2020-01-08,433.6988830566406,115.72752380371094,115.68478393554688,204.186279296875,43.77003860473633,44.778255462646484,90.49766540527344,63.177734375,42.219818115234375,29.85740852355957
2020-01-09,438.8304138183594,117.82008361816406,116.10716247558594,208.34286499023438,43.9527473449707,44.70195007324219,91.72352600097656,63.750919342041016,42.62097930908203,29.908634185791016
2020-01-10,438.0437316894531,117.3315200805664,114.9498062133789,207.92201232910156,43.669532775878906,44.50696563720703,90.86451721191406,63.090179443359375,42.7437858581543,29.661043167114258
2020-01-13,447.39166259765625,118.49300384521484,115.90441131591797,210.5843048095703,43.870521545410156,44.17634582519531,91.18663024902344,64.20470428466797,43.2104377746582,29.934249877929688
2020-01-14,443.29486083984375,118.73270416259766,117.256103515625,210.97071838378906,43.587310791015625,41.794158935546875,91.76822662353516,65.207763671875,43.275936126708984,30.15622901916504
2020-01-15,453.506591796875,119.67298889160156,115.49891662597656,210.5843048095703,43.04829788208008,40.96335983276367,91.5713882446289,64.67436981201172,43.34142303466797,29.60127067565918
2020-01-16,457.56048583984375,120.34591674804688,115.9466552734375,214.45742797851562,44.765846252441406,41.75177764892578,92.0903549194336,64.48332214355469,46.20684051513672,29.643957138061523
2020-01-17,457.76580810546875,121.2400894165039,116.74923706054688,214.2341766357422,44.16288375854492,41.69243240356445,93.17301177978516,64.57887268066406,47.08283996582031,29.635419845581055
2020-01-21,452.5486755371094,120.32748413085938,115.60029602050781,211.00509643554688,44.263370513916016,41.48896789550781,91.43719482421875,63.60762023925781,45.7811164855957,29.251203536987305
2020-01-22,459.1512145996094,121.21246337890625,115.46511840820312,212.16445922851562,44.701904296875,41.16682434082031,95.52630615234375,63.76683807373047,45.73200225830078,29.33658790588379
2020-01-23,463.49603271484375,121.10181427001953,115.34687042236328,210.90206909179688,44.2359619140625,40.87858963012695,94.87310028076172,63.528045654296875,45.46182632446289,29.13167381286621
2020-01-24,459.13421630859375,124.54950714111328,112.48302459716797,207.75885009765625,43.075706481933594,40.32754898071289,93.32514953613281,62.42940902709961,44.659523010253906,28.636476516723633
2020-01-27,447.9901428222656,120.42887878417969,111.5368881225586,204.51260375976562,41.805816650390625,39.92910385131836,90.51554107666016,61.068092346191406,43.48060607910156,28.047346115112305
2020-01-28,453.258544921875,122.0973892211914,113.56436920166016,208.32559204101562,42.29914855957031,40.157981872558594,91.30296325683594,61.490013122558594,44.22562026977539,28.380327224731445
2020-01-29,458.8348693847656,121.38758850097656,113.39542388916016,206.2130126953125,41.979400634765625,40.07322692871094,90.55134582519531,60.885005950927734,43.94725799560547,28.183956146240234
2020-01-30,461.57171630859375,122.80723571777344,114.79776000976562,209.6567840576172,43.112247467041016,40.61579132080078,91.41928100585938,61.64127731323242,44.351051330566406,28.58524513244629
2020-01-31,451.0178527832031,119.71906280517578,111.8156509399414,204.17771911621094,41.61396789550781,39.79347229003906,89.29865264892578,59.629852294921875,43.06550979614258,28.030275344848633
2020-02-03,453.35272216796875,120.76073455810547,112.66890716552734,205.259765625,41.73271942138672,39.9460563659668,89.2539291381836,60.20683288574219,43.34568786621094,28.149808883666992
2020-02-04,457.76580810546875,121.54432678222656,114.2908935546875,207.7760772705078,43.01176834106445,40.06474685668945,90.99874114990234,61.30471420288086,44.5158576965332,28.704774856567383
2020-02-05,464.8130798339844,123.15753936767578,116.23389434814453,209.8027801513672,44.11719512939453,40.95488739013672,93.7188491821289,63.187923431396484,45.31520462036133,29.635419845581055
2020-02-06,474.3831481933594,122.83489990234375,116.25076293945312,207.67298889160156,43.69694900512695,41.109107971191406,92.6272201538086,63.28409194946289,45.33168029785156,29.60127067565918
2020-02-07,475.298583984375,121.51667022705078,115.87906646728516,204.3923797607422,43.22187805175781,40.98915481567383,91.44153594970703,63.059696197509766,45.3481559753418,29.550037384033203
2020-02-10,479.882568359375,121.90382385253906,116.3606185913086,203.8427276611328,42.72853088378906,40.9291877746582,91.5762710571289,62.891422271728516,45.61186599731445,29.61833953857422
2020-02-11,487.8707580566406,122.26336669921875,116.58026885986328,203.0698699951172,43.55077362060547,41.117679595947266,91.9804916381836,63.38025665283203,45.966217041015625,29.6866512298584
2020-02-12,489.61541748046875,122.8256607055664,116.58026885986328,204.95057678222656,43.66039276123047,40.94632339477539,92.33979797363281,63.57257843017578,46.295841217041016,29.814712524414062
2020-02-13,486.2542419433594,123.95030975341797,116.4788818359375,204.69297790527344,43.366947174072266,41.22906494140625,92.32182312011719,63.30813217163086,46.08982467651367,29.80617904663086
2020-02-14,484.0219421386719,125.25010681152344,116.12407684326172,203.6023406982422,43.31191635131836,41.31474304199219,92.19608306884766,63.13984298706055,46.015647888183594,29.75494956970215
2020-02-18,483.0556640625,125.0011978149414,114.58656311035156,200.27877807617188,42.85340881347656,40.26089859008789,92.54638671875,62.170188903808594,45.751956939697266,29.259746551513672
2020-02-19,489.2647399902344,126.22722625732422,116.14939880371094,203.8170166015625,43.5045051574707,40.34656524658203,93.54344940185547,62.54683303833008,46.40296936035156,29.643957138061523
